Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Mortierella_sp	545.0	1703.0	716.0	1080.0	630.0	1990.0	2125.0	541.0	2754.0	626.0	1297.0	427.0	963.0	213.0	48.0	378.0	2611.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp	18647.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Sordariomycetes_sp	37.0	62.0	46.0	43.0	95.0	44.0	89.0	21.0	61.0	24.0	53.0	4.0	74.0	0.0	32.0	1767.0	105.0	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	Sordariomycetes_sp	2557.0	NA	ENA
Apiotrichum_xylopini	8.0	90.0	122.0	87.0	29.0	73.0	180.0	154.0	740.0	82.0	801.0	53.0	83.0	7.0	0.0	3.0	97.0	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_xylopini	2609.0	Soil Saprotroph	Sap
Geomyces_sp	6.0	16.0	6.0	24.0	4.0	99.0	9.0	4.0	14.0	27.0	1260.0	5.0	10.0	2.0	5.0	1.0	15.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	Geomyces_sp	1507.0	Soil Saprotroph	Sap
Mycena_metata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7669.0	0.0	0.0	0.0	127.0	3546.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_metata	11342.0	Leaf Saprotroph, Plant Pathogen, Undefined Saprotroph, Wood Saprotroph	Pat
Pezoloma_ericae	53.0	155.0	18.0	1618.0	229.0	75.0	88.0	173.0	95.0	275.0	33.0	18.0	109.0	29.0	0.0	21.0	55.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma	Pezoloma_ericae	3044.0	Bryophyte Parasite, Ectomycorrhizal, Ericoid Mycorrhizal, Undefined Saprotroph, Wood Saprotroph	Myc
Chaetosphaeria_ciliata	11.0	1524.0	342.0	204.0	4.0	17.0	18.0	14.0	4.0	422.0	254.0	0.0	5.0	40.0	36.0	18.0	1.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_ciliata	2914.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Xerocomellus_chrysenteron	537.0	203.0	1451.0	381.0	27.0	19.0	10.0	0.0	0.0	3.0	2097.0	0.0	1.0	1467.0	0.0	336.0	21.0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomellus	Xerocomellus_chrysenteron	6553.0	Ectomycorrhizal	Myc
Cortinarius_sp	207.0	4.0	6.0	19.0	0.0	80.0	11.0	3.0	0.0	0.0	0.0	0.0	1055.0	0.0	8.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_sp	1393.0	Ectomycorrhizal	Myc
Chaetosphaeria_sp	33.0	206.0	59.0	140.0	19.0	78.0	146.0	26.0	467.0	211.0	22.0	16.0	634.0	8.0	11.0	34.0	252.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_sp	2362.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Podila_epicladia	402.0	53.0	67.0	67.0	3.0	462.0	43.0	8.0	187.0	60.0	11.0	5.0	22.0	8.0	14.0	1.0	13.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_epicladia	1426.0	NA	ENA
Aspergillus_sp	0.0	286.0	2.0	257.0	85.0	144.0	188.0	331.0	3.0	263.0	130.0	0.0	274.0	0.0	7.0	123.0	5.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sp	2098.0	NA	ENA
Trechispora_sp	2.0	162.0	1.0	28.0	3.0	8.0	1071.0	72.0	46.0	9.0	615.0	1.0	156.0	8.0	17.0	240.0	9.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_sp	2448.0	Wood Saprotroph	Sap
Capnobotryella_sp	0.0	67.0	2.0	5.0	136.0	0.0	206.0	0.0	3.0	6.0	139.0	0.0	602.0	20.0	4.0	287.0	3.0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Capnobotryella	Capnobotryella_sp	1480.0	Undefined Saprotroph	Sap
Russula_heterophylla	0.0	0.0	4.0	0.0	0.0	0.0	1111.0	0.0	1543.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_heterophylla	2659.0	Ectomycorrhizal	Myc
Globodera_sp	57.0	450.0	87.0	19.0	279.0	239.0	134.0	202.0	2651.0	679.0	2135.0	349.0	852.0	33.0	17.0	562.0	243.0	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Globodera	Globodera_sp	8988.0	NA	ENA
Exophiala_radicis	63.0	369.0	268.0	325.0	158.0	224.0	628.0	89.0	1015.0	113.0	673.0	48.0	583.0	10.0	34.0	483.0	571.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_radicis	5654.0	NA	ENA
Xerocomus_subtomentosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4499.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus	Xerocomus_subtomentosus	4499.0	Ectomycorrhizal	Myc
Collybiopsis_ramealis	0.0	0.0	0.0	0.0	0.0	0.0	4417.0	0.0	11244.0	2318.0	2.0	0.0	0.0	3501.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis_ramealis	21482.0	NA	ENA
Bionectriaceae_sp	381.0	112.0	66.0	58.0	9.0	148.0	107.0	29.0	71.0	57.0	59.0	15.0	49.0	15.0	29.0	16.0	1466.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp	2687.0	NA	ENA
